,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2002,822766932,1242264632,474084374,84364843,65099618,741646551,222580598
2003,805414197,1362140569,469145372,85941493,66357046,758454738,235301138
2004,816954235,1377525570,446804125,80084112,62491033,797239933,243661302
2005,788917218,1306724197,408462195,88908984,67342622,756421418,247149087
2006,829937640,1274969233,446488089,88259706,64794891,794158339,235703082
2007,808861571,1187922895,402524960,144509893,98142981,874698716,308706918
2008,703661185,1045103762,417980453,171602758,110797341,857855966,265719724
2009,817979439,1014317995,387726807,155497449,103735468,851162308,278201242
2010,766268728,1061209505,401741466,177600989,116807520,866357768,289765969
2011,718344514,1040214416,433959473,201809898,131176264,873108446,276415175
2012,703586153,1075206686,417645123,182743668,119980478,911321788,303463071
2013,696681964,1090613835,404660232,185986076,121563217,913572607,292973148
2014,594453525,1135742718,343160640,147193541,97917906,905802507,292501015
2015,792775758,1157728083,352292103,604242836,233176576,1010770702,297166650
2016,840892101,1268587484,313209929,403777791,165431560,1035629146,258267699
2017,835597356,1211102232,278990425,405830294,163069863,1043644278,260803945
2018,801796431,1145062928,256653184,414031181,166479655,1022639680,269877728
2019,752712617,1044712884,236596063,394420289,151815532,1011351894,268912688
2020,711399328,929227386,180156856,392350604,146733003,990628716,261207081
2021,694817173,884453539,160993208,396088829,146382961,1002810383,262008256
